,SouceToDestination_city,ROUTE,#source_cities,#destination_cities,Number_of_Trips,Average_Actual_distance_to_destination,#source_states,#destination_states,destination_states,source_states,source_cities,route_type,destination_cities
0,Guwahati TO LakhimpurN,"Guwahati LakhimpurN Dhemaji Likabali Tezpur Pasighat Gohpur
 Mangaldoi Dhekiajuli Bishwanath Naharlagun Silapathar Nirjuli -- Tezpur Dhemaji Silapathar Pasighat Mangaldoi Itanagar
 Gohpur Bishwanath Dhekiajuli Guwahati LakhimpurN",13,11,14,281.59648637447793,2,2,Assam Arunachal Pradesh,Assam Arunachal Pradesh,"Guwahati LakhimpurN Dhemaji Likabali Tezpur Pasighat Gohpur
 Mangaldoi Dhekiajuli Bishwanath Naharlagun Silapathar Nirjuli",FTL,"Tezpur Dhemaji Silapathar Pasighat Mangaldoi Itanagar
 Gohpur Bishwanath Dhekiajuli Guwahati LakhimpurN"
1,Guwahati TO Tura,"Guwahati Rangia Kokrajhar Dhubri Bilasipara Tura Nalbari
 Barpeta Bongaigaon Lakhipur -- Rangia Nalbari Dhubri Bilasipara Lakhipur Guwahati Barpeta
 Bongaigaon Kokrajhar Tura",10,10,12,332.60222492932445,2,2,Assam Meghalaya,Assam Meghalaya,"Guwahati Rangia Kokrajhar Dhubri Bilasipara Tura Nalbari
 Barpeta Bongaigaon Lakhipur",FTL,"Rangia Nalbari Dhubri Bilasipara Lakhipur Guwahati Barpeta
 Bongaigaon Kokrajhar Tura"
2,Jaipur TO Tarnau,"Jaipur Chomu Reengus Sikar Bikaner Didwana Sujangarh
 Nokha Nagaur Tarnau -- Chomu Reengus Sikar Bikaner Nokha Sujangarh Jaipur Nagaur
 Didwana Tarnau",10,10,20,351.61179571973815,1,1,Rajasthan,Rajasthan,"Jaipur Chomu Reengus Sikar Bikaner Didwana Sujangarh
 Nokha Nagaur Tarnau",FTL,"Chomu Reengus Sikar Bikaner Nokha Sujangarh Jaipur Nagaur
 Didwana Tarnau"
3,Mangalore TO Udupi,"Mangalore Udupi Kundapura Bhatkal Honnavar Kumta Ankola
 Uchila Surathkal -- Uchila Kundapura Bhatkal Honnavar Kumta Ankola Goa
 Surathkal Udupi",9,9,9,195.25719263917483,1,2,Karnataka Goa,Karnataka,"Mangalore Udupi Kundapura Bhatkal Honnavar Kumta Ankola
 Uchila Surathkal",FTL,"Uchila Kundapura Bhatkal Honnavar Kumta Ankola Goa
 Surathkal Udupi"
4,Ajmer TO Raipur,"Ajmer Beawar Bilara Bijainagar Kekri Nasirabad Asind
 Badnaur Raipur -- Beawar Bilara Badnaur Kekri Nasirabad Ajmer Bijainagar
 Raipur",9,8,20,178.73723332414548,1,1,Rajasthan,Rajasthan,"Ajmer Beawar Bilara Bijainagar Kekri Nasirabad Asind
 Badnaur Raipur",FTL,"Beawar Bilara Badnaur Kekri Nasirabad Ajmer Bijainagar
 Raipur"
5,Mainpuri TO Tilhar,"Mainpuri Farrukhbad Shahabad Tilhar Jalalabad Chhibramau
 Aliganj Shahjhnpur -- Farrukhbad Shahabad Shahjhnpur Jalalabad Aliganj Chhibramau
 Mainpuri Tilhar",8,8,12,207.24705667359572,1,1,Uttar Pradesh,Uttar Pradesh,"Mainpuri Farrukhbad Shahabad Tilhar Jalalabad Chhibramau
 Aliganj Shahjhnpur",FTL,"Farrukhbad Shahabad Shahjhnpur Jalalabad Aliganj Chhibramau
 Mainpuri Tilhar"
6,Golaghat TO Guwahati,"Golaghat Jorhat Sivasagar Dibrugarh Guwahati Bokakhat
 Moranhat -- Jorhat Sivasagar Dibrugarh Moranhat Golaghat Bokakhat
 Guwahati",7,7,11,258.5465870589864,1,1,Assam,Assam,"Golaghat Jorhat Sivasagar Dibrugarh Guwahati Bokakhat
 Moranhat",FTL,"Jorhat Sivasagar Dibrugarh Moranhat Golaghat Bokakhat
 Guwahati"
7,Musiri TO Tiruchi,"Musiri Thuraiyur Perambalur Ariyalur Lalpet Jayamkondan
 Kulithalai -- Thuraiyur Perambalur Ariyalur Jayamkondan Kulithalai Lalpet
 Tiruchi",7,7,19,219.84512096769882,1,1,Tamil Nadu,Tamil Nadu,"Musiri Thuraiyur Perambalur Ariyalur Lalpet Jayamkondan
 Kulithalai",FTL,"Thuraiyur Perambalur Ariyalur Jayamkondan Kulithalai Lalpet
 Tiruchi"
8,Hassan TO Koppa,"Hassan Channaraya Koppa Madikeri Ramanathapura Nagamangala
 Krishnarajpet -- Channaraya Nagamangala Madikeri Ramanathapura Hassan
 Krishnarajpet Koppa",7,7,21,200.49783192236836,1,1,Karnataka,Karnataka,"Hassan Channaraya Koppa Madikeri Ramanathapura Nagamangala
 Krishnarajpet",FTL,"Channaraya Nagamangala Madikeri Ramanathapura Hassan
 Krishnarajpet Koppa"
9,Bijnor TO Bijnor,Bijnor Najibabad Dhampur Kanth Thakurdwara Rampur Chandpur -- Najibabad Dhampur Kanth Thakurdwara Rampur Chandpur Bijnor,7,7,17,209.40068453936988,1,1,Uttar Pradesh,Uttar Pradesh,Bijnor Najibabad Dhampur Kanth Thakurdwara Rampur Chandpur,FTL,Najibabad Dhampur Kanth Thakurdwara Rampur Chandpur Bijnor
