selling_price,year,km_driven,mileage,engine,max_power,make,model,transmission_type,seats_coupe,seats_family,seats_large,fuel_cng,fuel_diesel,fuel_electric,fuel_lpg,fuel_petrol,seller_dealer,seller_individual,seller_trustmark dealer
1.2,2012.0,120000,19.7,796.0,46.3,Maruti,Alto Std,1,0,1,0,0,0,0,0,1,0,1,0
5.5,2016.0,20000,18.9,1197.0,82.0,Hyundai,Grand i10 Asta,1,0,1,0,0,0,0,0,1,0,1,0
2.15,2010.0,60000,17.0,1197.0,80.0,Hyundai,i20 Asta,1,0,1,0,0,0,0,0,1,0,1,0
2.26,2012.0,37000,20.92,998.0,67.1,Maruti,Alto K10 2010-2014 VXI,1,0,1,0,0,0,0,0,1,0,1,0
5.7,2015.0,30000,22.77,1498.0,98.59,Ford,Ecosport 2015-2021 1.5 TDCi Titanium BSIV,1,0,1,0,0,1,0,0,0,1,0,0
3.5,2013.0,35000,18.9,998.0,67.1,Maruti,Wagon R VXI BS IV,1,0,1,0,0,0,0,0,1,0,1,0
3.15,2013.0,40000,20.36,1197.0,78.9,Hyundai,i10 Sportz 1.2,1,0,1,0,0,0,0,0,1,1,0,0
4.1,2018.0,17512,20.51,998.0,67.04,Maruti,Wagon R VXI,1,0,1,0,0,0,0,0,1,1,0,0
10.5,2019.0,20000,18.15,998.0,118.35,Hyundai,Venue SX Plus Turbo DCT BSIV,0,0,1,0,0,0,0,0,1,0,1,0
5.75,2017.0,70000,18.49,1493.0,100.0,Mahindra,TUV 300 T6,1,0,1,0,0,1,0,0,0,1,0,0
3.05,2015.0,50000,19.09,1405.0,69.01,Tata,Indigo LX (TDI) BS-III,1,0,1,0,0,1,0,0,0,0,1,0
11.5,2019.0,18000,20.37,1461.0,108.49,Renault,Captur Platine Dual Tone Diesel,1,0,1,0,0,1,0,0,0,0,1,0
5.11,2017.0,28321,16.6,1197.0,85.0,Maruti,Swift VXI with ABS,1,0,1,0,0,0,0,0,1,1,0,0
4.1,2016.0,27000,19.34,1198.0,76.0,Nissan,Micra XL CVT,0,0,1,0,0,0,0,0,1,1,0,0
4.25,2013.0,65278,22.32,1582.0,126.32,Hyundai,Verna 1.6 SX,1,0,1,0,0,1,0,0,0,1,0,0
7.5,2016.0,50000,19.64,1461.0,108.45,Renault,Duster 110PS Diesel RxL Explore,1,0,1,0,0,1,0,0,0,0,1,0
32.5,2017.0,6000,14.41,1998.0,189.08,Mini,Cooper Cooper S,0,0,1,0,0,0,0,0,1,1,0,0
6.5,2016.0,76000,28.09,1248.0,88.5,Maruti,Ciaz ZDi Plus SHVS,1,0,1,0,0,1,0,0,0,1,0,0
6.27,2016.0,20000,25.2,1248.0,74.0,Maruti,Swift VDI BSIV,1,0,1,0,0,1,0,0,0,0,1,0
14.25,2014.0,65000,19.27,2143.0,170.0,Mercedes-Benz,C-Class C 220 CDI Avantgarde,0,0,1,0,0,1,0,0,0,1,0,0
4.25,2014.0,62200,28.4,1248.0,74.0,Maruti,Swift VDI,1,0,1,0,0,1,0,0,0,1,0,0
6.05,2013.0,110000,12.99,2494.0,100.6,Toyota,Innova 2.5 GX (Diesel) 8 Seater,1,0,0,1,0,1,0,0,0,0,1,0
6.0,2015.0,20000,21.4,1197.0,83.1,Maruti,Baleno Zeta 1.2,1,0,1,0,0,0,0,0,1,0,1,0
5.75,2016.0,40000,20.85,1197.0,83.14,Maruti,Swift Dzire VXI,1,0,1,0,0,0,0,0,1,0,1,0
2.6,2012.0,97000,17.8,1248.0,76.0,Fiat,Grande Punto 1.3 Emotion Pack (Diesel),1,0,1,0,0,1,0,0,0,0,1,0
4.25,2013.0,47000,16.09,1598.0,103.2,Volkswagen,Vento 1.6 Comfortline BSIV,1,0,1,0,0,0,0,0,1,1,0,0
2.3,2013.0,25000,20.92,998.0,67.1,Maruti,Alto K10 2010-2014 VXI,1,0,1,0,0,0,0,0,1,1,0,0
12.25,2019.0,15000,19.67,1582.0,126.2,Hyundai,Creta 1.6 CRDi SX,1,0,1,0,0,1,0,0,0,0,1,0
3.75,2010.0,56823,14.02,2179.0,118.3,Mahindra,Xylo H9,1,0,0,1,0,1,0,0,0,1,0,0
7.5,2015.0,50000,17.4,1497.0,117.3,Honda,City i VTEC VX,1,0,1,0,0,0,0,0,1,0,1,0
3.5,2011.0,25000,13.6,2523.0,63.0,Mahindra,Bolero SLE BSIII,1,0,1,0,0,1,0,0,0,0,1,0
6.0,2015.0,90000,26.59,1248.0,74.0,Maruti,Swift Dzire VDI,1,0,1,0,0,1,0,0,0,0,1,0
3.9,2013.0,45000,26.59,1248.0,74.0,Maruti,Swift Dzire LDI,1,0,1,0,0,1,0,0,0,1,0,0
1.45,2007.0,77253,17.7,1497.0,78.0,Honda,City 2017-2020 GXi,1,0,1,0,0,0,0,0,1,1,0,0
7.0,2018.0,25000,17.19,1197.0,81.86,Hyundai,i20 Active 1.2 SX,1,0,1,0,0,0,0,0,1,0,1,0
11.5,2013.0,110000,13.0,2982.0,168.5,Toyota,Fortuner 4x2 Manual,1,0,1,0,0,1,0,0,0,0,1,0
3.4,2017.0,30000,23.01,999.0,67.0,Renault,KWID Climber 1.0 MT,1,0,1,0,0,0,0,0,1,0,1,0
4.65,2016.0,39993,18.6,1199.0,88.76,Honda,Amaze S Petrol,1,0,1,0,0,0,0,0,1,1,0,0
1.25,2009.0,80000,17.92,1086.0,62.1,Hyundai,Santro Xing GLS,1,0,1,0,0,0,0,0,1,0,1,0
6.0,2012.0,185000,15.1,2179.0,140.0,Mahindra,XUV500 W8 2WD,1,0,1,0,0,1,0,0,0,0,1,0
3.8,2013.0,90000,23.4,1248.0,74.0,Maruti,Swift Dzire VDI,1,0,1,0,0,1,0,0,0,0,1,0
4.0,2009.0,60000,14.0,2498.0,112.0,Mahindra,Xylo E8,1,0,0,1,0,1,0,0,0,0,1,0
3.0,2014.0,90000,22.1,1248.0,74.0,Chevrolet,Sail 1.3 Base,1,0,1,0,0,1,0,0,0,0,1,0
5.0,2015.0,20000,19.1,1197.0,82.0,Hyundai,Xcent 1.2 Kappa SX,1,0,1,0,0,0,0,0,1,0,1,0
8.5,2018.0,15000,22.54,1396.0,88.73,Hyundai,i20 1.4 Asta Option,1,0,1,0,0,1,0,0,0,0,1,0
5.98,2018.0,40000,18.6,1197.0,81.83,Hyundai,i20 1.2 Magna Executive,1,0,1,0,0,0,0,0,1,0,1,0
7.0,2015.0,31180,18.0,1497.0,117.3,Honda,City i VTEC CVT SV,0,0,1,0,0,0,0,0,1,1,0,0
9.0,2018.0,40000,18.49,1493.0,100.0,Mahindra,TUV 300 mHAWK100 T8 AMT,0,0,1,0,0,1,0,0,0,0,1,0
0.75,2004.0,50000,16.1,796.0,37.0,Maruti,800 Std,1,1,0,0,0,0,0,0,1,0,1,0
3.0,2015.0,58000,19.09,1396.0,69.0,Tata,Indigo LS TDI BSIII,1,0,1,0,0,1,0,0,0,0,1,0
4.1,2014.0,56000,23.4,1248.0,74.0,Maruti,Swift Dzire ZDI,1,0,1,0,0,1,0,0,0,1,0,0
3.0,2011.0,93000,20.5,1248.0,91.7,Fiat,Grande Punto 1.3 Emotion Pack 90HP (Diesel),1,0,1,0,0,1,0,0,0,0,1,0
2.25,2010.0,86000,12.2,1817.0,75.0,Ambassador,Avigo 1800 ISZ MPFI AC,1,0,1,0,0,0,0,0,1,1,0,0
3.0,2011.0,120000,17.8,1248.0,5.0,Maruti,Swift VDI BSIV,1,0,1,0,0,1,0,0,0,0,1,0
5.9,2016.0,52427,21.4,1197.0,83.1,Maruti,Baleno Zeta Automatic,0,0,1,0,0,0,0,0,1,1,0,0
8.5,2020.0,40000,21.0,1498.0,74.96,Mahindra,Bolero B6,1,0,1,0,0,1,0,0,0,0,1,0
1.08,2011.0,70000,26.0,624.0,35.0,Tata,Nano Cx BSIV,1,1,0,0,0,0,0,0,1,0,1,0
5.5,2018.0,17000,18.15,1198.0,82.0,Mahindra,KUV100 NXT G80 K8 5Str BSIV,1,0,1,0,0,0,0,0,1,0,1,0
3.25,2012.0,54325,17.6,1496.0,88.73,Toyota,Etios G,1,0,1,0,0,0,0,0,1,1,0,0
6.25,2016.0,22000,15.4,1590.0,94.0,Maruti,Baleno Vxi - BSIII,1,0,1,0,0,0,0,0,1,1,0,0
6.0,2016.0,54000,20.85,1197.0,83.14,Maruti,Swift Dzire ZXI,1,0,1,0,0,0,0,0,1,0,1,0
4.45,2019.0,10000,20.51,998.0,67.04,Maruti,Wagon R LXI Optional,1,0,1,0,0,0,0,0,1,0,1,0
5.3,2019.0,20000,20.89,1197.0,81.8,Maruti,Ignis 1.2 Delta BSIV,1,0,1,0,0,0,0,0,1,0,1,0
3.85,2011.0,61000,14.53,1798.0,138.1,Toyota,Corolla Altis GL,1,0,1,0,0,0,0,0,1,1,0,0
4.1,2018.0,53237,26.6,998.0,58.16,Maruti,Wagon R LXI CNG,1,0,1,0,1,0,0,0,0,0,0,1
3.5,2018.0,27263,22.5,999.0,68.0,Datsun,RediGO Gold 1.0,1,0,1,0,0,0,0,0,1,0,1,0
2.65,2014.0,90000,25.0,1396.0,69.01,Tata,Indigo eLX BS IV,1,0,1,0,0,1,0,0,0,0,1,0
5.2,2014.0,110000,22.32,1582.0,126.3,Hyundai,Verna 1.6 CRDI,1,0,1,0,0,1,0,0,0,0,1,0
7.5,2016.0,70000,22.54,1396.0,88.73,Hyundai,i20 Asta Option 1.4 CRDi,1,0,1,0,0,1,0,0,0,0,1,0
5.6,2017.0,70000,26.59,1248.0,74.0,Maruti,Swift Dzire VDI,1,0,1,0,0,1,0,0,0,0,1,0
2.0,2014.0,190000,19.1,1405.0,70.0,Tata,Vista TDI LS,1,0,1,0,0,1,0,0,0,0,1,0
6.0,2017.0,40000,25.4,1186.0,73.97,Hyundai,Xcent 1.2 CRDi SX,1,0,1,0,0,1,0,0,0,0,1,0
6.55,2019.0,39000,18.6,1197.0,81.83,Hyundai,i20 1.2 Spotz,1,0,1,0,0,0,0,0,1,1,0,0
1.25,2007.0,56000,17.8,1086.0,63.0,Hyundai,Santro Xing XE,1,0,1,0,0,0,0,0,1,1,0,0
4.25,2009.0,58000,14.53,1794.0,138.1,Toyota,Corolla Altis 1.8 VL AT,0,0,1,0,0,0,0,0,1,1,0,0
2.2,2017.0,40000,16.8,796.0,34.2,Maruti,Omni E MPI STD BS IV,1,0,0,1,0,0,0,0,1,0,1,0
5.5,2018.0,34000,18.6,1197.0,81.83,Hyundai,i20 1.2 Spotz,1,0,1,0,0,0,0,0,1,0,1,0
11.5,2017.0,50000,15.4,1997.0,120.0,Mahindra,Scorpio 1.99 S10,1,0,1,0,0,1,0,0,0,0,1,0
5.0,2012.0,77400,20.54,1598.0,103.6,Volkswagen,Vento Diesel Highline,1,0,1,0,0,1,0,0,0,0,1,0
9.9,2019.0,36000,17.3,1497.0,121.0,Mahindra,Marazzo M2 BSIV,1,0,1,0,0,1,0,0,0,0,1,0
5.51,2013.0,47876,25.0,1493.0,113.42,Hyundai,Verna SX Opt Diesel,1,0,1,0,0,1,0,0,0,1,0,0
16.5,2018.0,21500,15.1,2179.0,152.87,Mahindra,XUV500 W11 Option AT BSIV,0,0,1,0,0,1,0,0,0,0,1,0
3.5,2015.0,75000,24.0,1120.0,70.0,Hyundai,Grand i10 CRDi Magna,1,0,1,0,0,1,0,0,0,1,0,0
5.0,2017.0,58000,18.16,1196.0,86.8,Ford,Aspire 1.2 Ti-VCT Titanium,1,0,1,0,0,0,0,0,1,1,0,0
5.75,2018.0,30000,21.21,1197.0,81.8,Maruti,Swift Dzire VXI 1.2,1,0,1,0,0,0,0,0,1,0,1,0
5.45,2018.0,50000,24.0,1186.0,73.97,Hyundai,Grand i10 1.2 CRDi Asta,1,0,1,0,0,1,0,0,0,0,1,0
5.25,2017.0,19093,18.16,1196.0,86.8,Ford,Figo 1.2P Titanium MT,1,0,1,0,0,0,0,0,1,0,0,1
4.0,2014.0,50000,18.0,1198.0,86.7,Honda,Amaze E i-Vtech,1,0,1,0,0,0,0,0,1,0,1,0
1.55,2006.0,37000,14.0,1061.0,64.0,Maruti,Wagon R LXI BSIII,1,0,1,0,0,0,0,0,1,1,0,0
5.4,2019.0,3888,23.5,909.0,45.0,Mahindra,Supro VX 8 Str,1,0,0,1,0,1,0,0,0,0,1,0
5.45,2016.0,47000,26.59,1248.0,74.0,Maruti,Swift Dzire VDI,1,0,1,0,0,1,0,0,0,1,0,0
5.45,2013.0,70000,16.8,1497.0,116.3,Honda,City V MT,1,0,1,0,0,0,0,0,1,0,1,0
2.4,2016.0,25000,25.17,799.0,53.3,Renault,KWID RXL,1,0,1,0,0,0,0,0,1,0,1,0
7.25,2018.0,26000,24.3,1248.0,88.5,Maruti,Vitara Brezza LDi Option,1,0,1,0,0,1,0,0,0,1,0,0
4.8,2017.0,30000,18.16,1196.0,86.8,Ford,Aspire 1.2 Ti-VCT Titanium Opt,1,0,1,0,0,0,0,0,1,0,1,0
3.75,2013.0,15000,18.5,1197.0,82.9,Hyundai,i20 Magna Optional 1.2,1,0,1,0,0,0,0,0,1,0,1,0
2.25,2011.0,160000,17.8,1248.0,75.0,Maruti,Swift VDi BSIII W/ ABS,1,0,1,0,0,1,0,0,0,0,1,0
4.0,2017.0,32100,23.84,1199.0,84.0,Tata,Tiago 1.2 Revotron XZ,1,0,1,0,0,0,0,0,1,0,1,0
5.5,2016.0,22000,18.5,1197.0,82.9,Hyundai,i20 Magna Optional 1.2,1,0,1,0,0,0,0,0,1,1,0,0
10.5,2016.0,44000,15.4,2179.0,120.0,Mahindra,Scorpio S10 7 Seater,1,0,1,0,0,1,0,0,0,1,0,0
4.5,2016.0,78000,18.78,1198.0,74.0,Volkswagen,Polo 1.2 MPI Trendline,1,0,1,0,0,0,0,0,1,1,0,0
7.75,2012.0,74352,11.74,1796.0,186.0,Mercedes-Benz,C-Class C 200 CGI Elegance,0,0,1,0,0,0,0,0,1,1,0,0
3.5,2014.0,37000,20.51,998.0,67.04,Maruti,Wagon R VXI,1,0,1,0,0,0,0,0,1,0,1,0
5.5,2014.0,69000,25.1,1498.0,98.6,Honda,City i DTEC VX Option,1,0,1,0,0,1,0,0,0,1,0,0
10.8,2019.0,12120,16.8,1497.0,113.4,Kia,Seltos HTK Plus G,1,0,1,0,0,0,0,0,1,0,1,0
5.75,2016.0,52000,21.01,1197.0,81.8,Maruti,Baleno Delta,1,0,1,0,0,0,0,0,1,1,0,0
9.5,2016.0,120000,12.99,2494.0,100.6,Toyota,Innova 2.5 G (Diesel) 8 Seater,1,0,0,1,0,1,0,0,0,0,1,0
2.3,2013.0,55000,22.74,796.0,47.3,Maruti,Alto 800 LXI,1,0,1,0,0,0,0,0,1,0,1,0
2.7,2011.0,160000,21.9,1396.0,90.0,Hyundai,i20 1.4 CRDi Magna,1,0,1,0,0,1,0,0,0,0,1,0
1.65,2012.0,42000,25.44,936.0,56.3,Chevrolet,Beat Diesel LS,1,0,1,0,0,1,0,0,0,1,0,0
1.3,2011.0,40000,15.6,1196.0,70.0,Ford,Figo Petrol EXI,1,0,1,0,0,0,0,0,1,0,1,0
3.7,2012.0,46000,19.1,1197.0,85.8,Maruti,Swift Dzire VXI,1,0,1,0,0,0,0,0,1,1,0,0
5.7,2017.0,25000,21.4,1197.0,83.1,Maruti,Baleno Delta 1.2,1,0,1,0,0,0,0,0,1,1,0,0
3.9,2015.0,240000,23.59,1364.0,67.05,Toyota,Etios GD,1,0,1,0,0,1,0,0,0,0,1,0
3.65,2013.0,90000,22.07,1199.0,73.9,Volkswagen,Polo Diesel Comfortline 1.2L,1,0,1,0,0,1,0,0,0,1,0,0
2.8,2012.0,49566,18.5,1197.0,82.85,Hyundai,i20 Magna,1,0,1,0,0,0,0,0,1,1,0,0
12.5,2018.0,14000,22.0,1582.0,126.2,Hyundai,Verna CRDi 1.6 AT SX Option,0,0,1,0,0,1,0,0,0,1,0,0
5.9,2016.0,11000,18.6,1197.0,81.83,Hyundai,i20 2015-2017 Sportz 1.2,1,0,1,0,0,0,0,0,1,1,0,0
4.75,2018.0,5000,23.1,998.0,67.04,Maruti,Celerio VXI AMT BSIV,0,0,1,0,0,0,0,0,1,0,1,0
6.85,2017.0,55000,23.0,1498.0,98.96,Ford,Ecosport 2015-2021 1.5 Diesel Titanium BSIV,1,0,1,0,0,1,0,0,0,1,0,0
3.8,2012.0,65000,19.08,1582.0,126.32,Hyundai,Verna SX CRDi AT,0,0,1,0,0,1,0,0,0,1,0,0
3.3,2018.0,22000,23.01,999.0,67.0,Renault,KWID 1.0 RXT Optional,1,0,1,0,0,0,0,0,1,0,1,0
6.5,2018.0,7671,21.01,1197.0,81.8,Maruti,Baleno Delta,1,0,1,0,0,0,0,0,1,0,0,1
3.25,2016.0,66000,20.51,998.0,67.04,Maruti,Wagon R LXI,1,0,1,0,0,0,0,0,1,0,1,0
6.4,2018.0,45156,21.21,1197.0,81.8,Maruti,Swift Dzire AMT VXI,0,0,1,0,0,0,0,0,1,1,0,0
9.49,2019.0,25000,18.27,998.0,118.35,Hyundai,Venue SX Opt Turbo BSIV,1,0,1,0,0,0,0,0,1,0,1,0
7.5,2015.0,70000,20.45,1461.0,83.8,Nissan,Terrano XL Plus 85 PS,1,0,1,0,0,1,0,0,0,0,1,0
6.6,2015.0,120000,23.9,1582.0,126.2,Hyundai,Verna 1.6 CRDi SX,1,0,1,0,0,1,0,0,0,0,1,0
4.35,2014.0,28000,16.1,1197.0,85.0,Maruti,Swift VXi BSIV,1,0,1,0,0,0,0,0,1,1,0,0
